Word,Documents (With Count)
plenitude,"[(496, 1)]"
holocausto,"[(121, 3), (193, 1)]"
sítios,"[(51, 1)]"
vivasso,"[(402, 1)]"
militância,"[(1, 1), (25, 1), (108, 1), (309, 1), (407, 4)]"
itaim,"[(223, 1)]"
mãos,"[(34, 1), (99, 1), (103, 1), (121, 1), (171, 1), (214, 1), (219, 1), (252, 1), (256, 2), (297, 1), (309, 1), (331, 1), (379, 1), (397, 1), (407, 2), (433, 1), (478, 1), (525, 2), (531, 1), (535, 1), (572, 1), (581, 1), (602, 1)]"
desfaçatez,"[(208, 1), (447, 1)]"
br-,"[(119, 1), (179, 2)]"
calheiros,"[(208, 1)]"
extrapolou,"[(237, 1)]"
bahamas,"[(368, 1)]"
continuam,"[(37, 1), (113, 1)]"
vazios,"[(270, 1)]"
móveis,"[(103, 1), (579, 5)]"
pertences,"[(270, 3), (466, 1)]"
pertencer,"[(121, 1), (162, 1)]"
servidores,"[(19, 1), (82, 1), (99, 1), (113, 4), (273, 1), (505, 2)]"
fabriquinhas,"[(229, 1)]"
conta-própria,"[(80, 1)]"
existir,"[(162, 1), (297, 1), (378, 1), (627, 1)]"
bandnews,"[(416, 2), (480, 1)]"
tríade,"[(239, 1)]"
restos,"[(270, 1), (409, 1)]"
custa,"[(82, 1)]"
existiu,"[(112, 1), (207, 1), (552, 1)]"
work,"[(76, 2)]"
prefeituras,"[(488, 1)]"
invisibilidade,"[(60, 1)]"
estádio,"[(108, 1), (127, 2)]"
permite,"[(62, 1), (121, 1), (122, 1), (126, 1), (137, 1), (289, 1), (306, 1), (513, 1), (525, 1), (577, 1)]"
combinando,"[(347, 1)]"
iracema,"[(82, 1), (146, 1)]"
assemelha,"[(51, 1), (239, 1)]"
fundações,"[(545, 1)]"
literários,"[(122, 1)]"
reeleitos,"[(418, 1)]"
norte-americana,"[(207, 1), (429, 1)]"
lançadas,"[(477, 1)]"
apeada,"[(525, 1)]"
acachapantes,"[(535, 1)]"
irracionalidade,"[(60, 1), (208, 1)]"
fotógrafos,"[(108, 3), (168, 1)]"
berlinda,"[(467, 1), (480, 1)]"
uau,"[(526, 1)]"
confrontado,"[(294, 1), (602, 1)]"
fevereirogoverno,"[(583, 1)]"
galhardia,"[(406, 1)]"
ual,"[(289, 2)]"
mangueiras,"[(237, 1)]"
elegantes,"[(294, 1)]"
mpb,"[(68, 1)]"
pareça,"[(316, 1), (327, 1), (345, 1), (483, 1), (573, 1)]"
límpido,"[(544, 1)]"
imagináveis,"[(223, 1)]"
sussurrado,"[(315, 1)]"
dividindo,"[(51, 1), (76, 1)]"
morou,"[(174, 1)]"
boato,"[(577, 8)]"
objeto,"[(59, 1), (192, 1), (380, 1), (433, 2), (445, 1), (451, 1)]"
disparados,"[(544, 1)]"
sabiam,"[(167, 1), (217, 1), (457, 1)]"
significam,"[(160, 1)]"
detêm,"[(283, 1)]"
denunciavam,"[(289, 1)]"
pautam,"[(208, 1)]"
boate,"[(465, 1), (519, 2)]"
fakea,"[(623, 1)]"
autoajuda,"[(289, 1)]"
expressar,"[(17, 1), (27, 1), (122, 1), (174, 1), (582, 1)]"
jornalista,"[(10, 1), (12, 1), (56, 1), (58, 1), (82, 3), (93, 1), (104, 1), (121, 1), (132, 1), (134, 1), (170, 1), (171, 1), (179, 5), (193, 1), (200, 2), (223, 2), (248, 1), (250, 1), (254, 1), (289, 5), (291, 1), (304, 1), (362, 1), (365, 1), (375, 2), (397, 1), (410, 1), (443, 1), (444, 1), (457, 5), (520, 1), (548, 2), (553, 2), (554, 1), (573, 2), (577, 2), (592, 1), (594, 1), (606, 1), (611, 1), (615, 2)]"
blasfêmia,"[(208, 1)]"
instituíram,"[(138, 1), (260, 1)]"
erotização,"[(162, 1)]"
medíocres,"[(236, 1), (502, 1)]"
teorias,"[(60, 1), (145, 1)]"
guardado,"[(167, 1)]"
apreendido,"[(137, 1)]"
parcelas,"[(51, 1), (273, 1)]"
pulando,"[(579, 1)]"
união,"[(19, 1), (25, 1), (48, 1), (51, 2), (52, 1), (57, 1), (98, 1), (103, 4), (122, 1), (133, 1), (134, 1), (166, 1), (229, 1), (236, 2), (239, 1), (273, 2), (304, 2), (354, 2), (380, 3), (448, 1), (471, 2), (514, 1), (550, 1), (573, 1), (583, 1), (585, 2), (590, 2), (632, 1)]"
bares,"[(124, 1)]"
implementado,"[(568, 1)]"
pico,"[(332, 3)]"
implementada,"[(27, 1)]"
after,"[(16, 1)]"
medalha,"[(113, 1), (525, 2)]"
vives,"[(583, 1)]"
ingredientes,"[(123, 2), (376, 1)]"
bolsonaro,"[(1, 1), (6, 1), (10, 16), (11, 1), (13, 3), (15, 1), (17, 7), (19, 1), (25, 1), (27, 17), (28, 1), (29, 1), (30, 4), (33, 1), (37, 1), (46, 1), (48, 2), (50, 1), (51, 3), (52, 1), (57, 16), (59, 5), (66, 1), (68, 1), (71, 4), (72, 2), (76, 1), (77, 1), (81, 4), (94, 1), (97, 3), (98, 2), (99, 8), (104, 3), (113, 1), (114, 6), (121, 6), (123, 1), (129, 1), (130, 1), (133, 1), (135, 1), (136, 1), (138, 11), (145, 4), (146, 1), (147, 6), (153, 3), (157, 1), (166, 3), (167, 1), (171, 3), (174, 5), (177, 2), (182, 6), (185, 3), (187, 3), (192, 5), (193, 2), (194, 2), (195, 1), (208, 2), (212, 6), (214, 5), (223, 3), (226, 2), (229, 8), (232, 4), (233, 1), (235, 2), (236, 7), (238, 1), (239, 4), (241, 1), (243, 5), (246, 2), (248, 1), (249, 3), (250, 5), (251, 1), (252, 4), (255, 7), (256, 2), (263, 1), (264, 3), (268, 5), (277, 8), (278, 4), (279, 3), (282, 12), (283, 5), (285, 3), (288, 1), (289, 14), (297, 10), (300, 1), (303, 1), (304, 2), (306, 4), (308, 2), (309, 11), (315, 4), (316, 1), (319, 1), (320, 2), (324, 3), (331, 6), (339, 1), (340, 1), (352, 4), (354, 1), (361, 2), (367, 5), (368, 1), (372, 2), (376, 8), (379, 6), (380, 6), (388, 2), (397, 2), (404, 1), (406, 4), (409, 1), (418, 1), (429, 3), (432, 2), (445, 1), (448, 1), (457, 7), (459, 1), (471, 8), (478, 1), (480, 3), (484, 1), (486, 1), (488, 5), (496, 1), (502, 3), (505, 4), (507, 1), (508, 1), (514, 11), (519, 1), (520, 1), (525, 1), (526, 12), (530, 1), (531, 2), (533, 1), (534, 2), (535, 4), (537, 1), (542, 1), (544, 4), (545, 2), (548, 3), (550, 1), (551, 6), (552, 9), (555, 6), (562, 1), (566, 2), (568, 1), (570, 1), (577, 21), (579, 3), (580, 1), (585, 2), (586, 1), (590, 3), (591, 1), (593, 2), (594, 2), (596, 5), (597, 3), (600, 3), (602, 6), (603, 6), (609, 2), (611, 1), (613, 1), (627, 12), (632, 1), (634, 1), (635, 2)]"
fragmentadas,"[(138, 1)]"
nazidireitistas,"[(297, 1)]"
pacificar,"[(309, 1)]"
law,"[(15, 1)]"
hussein,"[(385, 1)]"
lar,"[(30, 1), (61, 1)]"
las,"[(280, 1), (514, 1), (583, 1), (604, 1)]"
prende,"[(480, 1), (542, 1)]"
ordem,"[(10, 2), (27, 1), (55, 1), (56, 1), (57, 3), (61, 1), (80, 2), (105, 2), (113, 1), (121, 2), (163, 1), (172, 1), (217, 2), (236, 1), (268, 1), (277, 1), (278, 1), (309, 3), (315, 1), (345, 1), (372, 1), (376, 1), (380, 4), (396, 1), (398, 1), (433, 1), (442, 1), (451, 2), (520, 1), (525, 3), (542, 1), (560, 4), (572, 1), (585, 1), (594, 1), (611, 1)]"
começar,"[(55, 1), (72, 1), (93, 1), (118, 1), (126, 1), (277, 1), (418, 1), (488, 1), (505, 1), (573, 1)]"
pemex,"[(17, 1)]"
delicadíssimo,"[(238, 1)]"
parvoíce,"[(514, 1)]"
cruzadas,"[(223, 1), (433, 1), (573, 1)]"
extratos,"[(340, 1), (593, 1)]"
passado,"[(3, 1), (25, 1), (27, 1), (33, 1), (52, 1), (55, 3), (61, 1), (62, 1), (64, 1), (76, 1), (81, 1), (96, 1), (98, 1), (99, 1), (108, 1), (112, 2), (127, 1), (130, 1), (147, 1), (160, 1), (200, 1), (207, 1), (208, 1), (229, 2), (239, 1), (243, 2), (248, 1), (255, 1), (277, 1), (283, 2), (302, 1), (309, 1), (384, 1), (390, 1), (406, 1), (418, 1), (444, 1), (465, 1), (470, 1), (471, 1), (508, 1), (516, 1), (534, 1), (551, 1), (559, 2), (566, 1), (567, 1), (572, 3), (573, 1), (577, 1), (579, 1), (586, 1), (592, 1), (600, 1), (602, 1), (603, 1), (627, 1), (628, 1), (630, 1), (633, 2)]"
assimilado,"[(488, 1)]"
animados,"[(306, 1)]"
dorme,"[(229, 1)]"
coelho,"[(219, 1), (535, 1), (577, 1)]"
diferencial,"[(534, 1)]"
sul-americana,"[(237, 1)]"
south,"[(207, 1)]"
cuidados,"[(322, 1), (534, 1)]"
manchete,"[(55, 1), (294, 1), (345, 1), (579, 1)]"
começam,"[(157, 1), (251, 1), (304, 1), (488, 1), (526, 1), (596, 1)]"
rolando,"[(55, 2)]"
fao,"[(276, 1)]"
neto,"[(10, 1), (91, 2), (174, 1), (229, 2), (433, 1)]"
escorpião,"[(294, 7)]"
decide,"[(282, 1), (291, 1), (315, 1), (354, 1)]"
tranquilidade,"[(68, 1), (466, 1), (525, 1), (635, 1)]"
desconhecimento,"[(166, 1), (248, 1), (551, 1)]"
hectare,"[(252, 3)]"
mudarem,"[(249, 1)]"
destrui,"[(27, 1)]"
postando,"[(577, 1)]"
teatro,"[(13, 1), (124, 2), (133, 1), (146, 1), (278, 2), (319, 1), (445, 1), (576, 1)]"
neta,"[(483, 1), (579, 2)]"
respeitado,"[(27, 1), (174, 1)]"
calão,"[(208, 1), (297, 1), (331, 1)]"
atribua,"[(277, 1)]"
patriotismo,"[(283, 1), (602, 1)]"
experiência,"[(66, 1), (130, 1), (138, 1), (167, 4), (243, 1), (289, 1), (297, 1), (323, 1), (346, 2), (545, 1), (568, 2), (592, 1)]"
indesejados,"[(466, 1)]"
modesta,"[(201, 1), (214, 1)]"
atribui,"[(55, 1), (121, 1), (248, 1)]"
mayor,"[(12, 1), (207, 1)]"
letal,"[(179, 1), (559, 1)]"
bajulação,"[(316, 1)]"
sombrios,"[(27, 1), (124, 1), (208, 1), (260, 1)]"
juca,"[(254, 1)]"
punhado,"[(160, 1), (514, 1), (551, 1)]"
vento,"[(68, 1), (297, 1)]"
sinceridade,"[(57, 1), (248, 1)]"
fachada,"[(64, 1), (282, 1)]"
machucada,"[(27, 1)]"
irmão,"[(13, 1), (25, 1), (55, 1), (132, 1), (171, 1), (182, 1), (327, 2), (360, 1), (395, 1), (515, 1), (548, 3), (632, 1)]"
proibir,"[(71, 1), (192, 1), (229, 1), (380, 1)]"
realizador,"[(251, 2), (572, 1)]"
fogueira,"[(596, 1)]"
proibiu,"[(179, 1)]"
bancárias,"[(368, 1), (525, 1)]"
eleva,"[(118, 1)]"
bocardi,"[(362, 1), (443, 5)]"
neidinha,"[(92, 1)]"
atacou,"[(68, 1), (174, 1), (256, 1), (505, 1)]"
assentamento,"[(25, 10), (119, 3), (229, 1), (566, 2)]"
informações,"[(10, 2), (25, 1), (40, 2), (56, 1), (82, 2), (113, 1), (119, 1), (126, 1), (163, 1), (172, 1), (174, 1), (179, 2), (266, 1), (279, 1), (282, 2), (289, 1), (304, 1), (322, 1), (327, 1), (368, 1), (375, 1), (457, 1), (506, 1), (540, 1), (581, 1), (593, 2), (611, 2), (627, 1)]"
aeroportos,"[(113, 1)]"
costurada,"[(99, 1)]"
risadas,"[(69, 1)]"
versus,"[(236, 1)]"
elegido,"[(207, 1)]"
fundar-se-á,"[(162, 1)]"
vassoura,"[(488, 1)]"
democráticas,"[(130, 1), (367, 1), (429, 1), (442, 2), (519, 1), (573, 1), (602, 1), (627, 4)]"
consagrados,"[(52, 1), (545, 1)]"
cultiváveis,"[(252, 1)]"
tremi,"[(55, 1)]"
pega,"[(252, 1), (331, 1), (376, 1), (378, 1), (398, 1), (501, 1), (559, 1)]"
ligando,"[(316, 1)]"
intervenções,"[(166, 1), (208, 1), (239, 1), (294, 1), (429, 1)]"
band,"[(358, 3), (465, 1), (540, 1), (601, 1)]"
contador,"[(384, 1)]"
contados,"[(82, 1), (255, 1)]"
refrigerados,"[(96, 1)]"
comercializa,"[(76, 1)]"
defected,"[(587, 1)]"
leais,"[(579, 1)]"
perguntas,"[(28, 1), (153, 1), (163, 1), (223, 1), (306, 1), (477, 2), (526, 1), (579, 1), (593, 2)]"
perguntar,"[(13, 1), (26, 1), (36, 1), (102, 1), (340, 1), (378, 1), (525, 1)]"
comparece,"[(208, 1)]"
ferroa,"[(294, 1)]"
fatura,"[(525, 1)]"
pobre,"[(55, 2), (63, 1), (167, 2), (174, 1), (179, 1), (182, 1), (249, 1), (251, 1), (288, 1), (320, 1), (400, 2), (409, 1), (448, 1), (573, 1)]"
alexis,"[(573, 1)]"
pós-,"[(573, 1)]"
dirigiu,"[(57, 1)]"
soldo,"[(505, 1)]"
reajuste,"[(113, 1)]"
associativo,"[(137, 1)]"
estudada,"[(64, 1)]"
sublinham,"[(376, 1)]"
louis,"[(146, 2)]"
promover,"[(10, 1), (27, 1), (30, 2), (185, 1), (236, 1), (243, 1), (324, 1), (367, 1), (380, 1), (457, 1), (525, 1), (566, 1), (568, 1)]"
literalmente,"[(502, 1)]"
estudado,"[(102, 1), (121, 1), (294, 1), (300, 1)]"
vidas,"[(55, 4), (61, 1), (82, 1), (145, 1), (249, 1), (259, 1), (429, 1), (514, 1), (546, 1), (548, 1)]"
carlos,"[(37, 1), (171, 1), (174, 1), (177, 1), (197, 1), (219, 1), (229, 1), (239, 2), (251, 1), (255, 8), (268, 1), (282, 5), (283, 1), (289, 1), (297, 3), (309, 1), (319, 1), (320, 2), (362, 1), (397, 1), (406, 1), (457, 1), (544, 2), (545, 2), (550, 1), (555, 3), (577, 2), (583, 1), (590, 1)]"
promoveu,"[(162, 1), (380, 1), (593, 1)]"
hostes,"[(145, 1), (212, 1), (248, 1), (277, 1)]"
mancha,"[(501, 1)]"
idolatra,"[(514, 1)]"
helicóptero,"[(553, 1), (606, 4)]"
preposicionar,"[(609, 1)]"
responderão,"[(13, 1), (331, 1)]"
list,"[(523, 1)]"
reparar,"[(192, 1)]"
crimes,"[(13, 1), (25, 1), (33, 1), (37, 2), (48, 1), (61, 1), (82, 1), (119, 1), (121, 1), (130, 2), (137, 3), (179, 1), (192, 1), (193, 1), (229, 1), (345, 1), (367, 1), (368, 1), (380, 3), (407, 1), (424, 4), (454, 1), (465, 1), (480, 1), (519, 11), (520, 2), (531, 1), (545, 2), (573, 1), (581, 2), (583, 1), (627, 1), (628, 1)]"
cabanas,"[(454, 1)]"
tigrões,"[(93, 1)]"
procuram,"[(11, 1), (82, 1), (162, 1), (251, 1)]"
procurar,"[(61, 1), (82, 1), (145, 1), (147, 1), (520, 1), (553, 1), (584, 1)]"
janeirogrupo,"[(583, 1)]"
desfavor,"[(368, 1)]"
aumentando,"[(126, 1), (127, 1), (162, 1), (505, 2)]"
interpretada,"[(309, 1)]"
brasildefatoposted,"[(604, 1)]"
logo,"[(17, 1), (19, 1), (25, 1), (33, 1), (96, 1), (98, 1), (122, 1), (127, 1), (149, 1), (167, 1), (223, 2), (239, 1), (251, 2), (289, 2), (379, 1), (400, 1), (424, 1), (433, 1), (457, 1), (480, 1), (488, 1), (502, 4), (534, 1), (555, 1), (573, 1), (623, 2)]"
inaugurada,"[(424, 1), (583, 1)]"
isolar,"[(239, 1), (496, 1)]"
ex-colega,"[(200, 1)]"
somarem,"[(442, 1)]"
vascaínos,"[(160, 1)]"
alegavam,"[(568, 1)]"
amplamente,"[(30, 1), (37, 1), (59, 1), (566, 1)]"
desesperados,"[(360, 1)]"
network,"[(126, 1)]"
terrores,"[(306, 1)]"
cansou,"[(72, 1)]"
seguimos,"[(300, 1), (483, 1)]"
acrescentando,"[(577, 1)]"
pragmáticos,"[(147, 1)]"
maduro,"[(17, 1), (309, 1), (365, 4), (455, 2), (548, 2), (573, 11), (577, 2), (583, 16), (597, 1), (620, 1)]"
monitor,"[(577, 1)]"
incomode,"[(368, 1)]"
redigir,"[(623, 1)]"
julgamentos,"[(193, 1)]"
forte,"[(13, 1), (27, 2), (57, 1), (64, 1), (99, 1), (123, 1), (127, 1), (174, 1), (179, 1), (207, 1), (278, 1), (316, 1), (406, 1), (433, 1), (457, 1), (526, 1), (577, 1), (579, 1)]"
ofendida,"[(13, 1), (33, 2)]"
daniel,"[(72, 1), (109, 1), (223, 1), (515, 1)]"
jonatha,"[(338, 1)]"
geraram,"[(171, 1), (505, 1)]"
�sito,"[(27, 1)]"
generoso,"[(182, 1)]"
lacerações,"[(519, 1)]"
locado,"[(451, 1)]"
indaiatuba,"[(367, 1)]"
medicina,"[(118, 1)]"
reunidas,"[(10, 1)]"
caberem,"[(597, 1)]"
cípio,"[(102, 1)]"
admita,"[(105, 1)]"
assistente,"[(243, 1)]"
lidiane,"[(323, 1)]"
admite,"[(158, 1), (210, 1), (289, 1), (297, 1), (465, 1), (545, 1)]"
incluídos,"[(105, 1)]"
blocos,"[(99, 1), (146, 1)]"
usaram,"[(270, 1)]"
falsificação,"[(406, 1)]"
admito,"[(60, 2)]"
deputada-procuradora,"[(223, 1)]"
arqueada,"[(219, 1)]"
marília,"[(267, 2)]"
braços,"[(46, 1), (277, 1), (327, 1), (478, 1)]"
caixinha,"[(137, 2), (252, 2), (480, 1)]"
vigiem,"[(223, 1)]"
suicida,"[(236, 1)]"
partimos,"[(237, 1)]"
kit,"[(30, 1), (59, 2), (492, 1), (627, 2)]"
bafomunistas,"[(171, 1)]"
fixa,"[(61, 1), (195, 2), (398, 1)]"
realizar,"[(104, 1), (113, 1), (118, 1), (166, 1), (167, 1), (227, 1), (566, 1), (590, 1)]"
alheia,"[(145, 1), (513, 1), (553, 1)]"
embarcar,"[(514, 1)]"
afirmado,"[(62, 1)]"
orçamentárias,"[(166, 1), (418, 1)]"
brasilidade,"[(174, 1), (572, 1)]"
bélica,"[(376, 1), (429, 2)]"
afirmada,"[(62, 1)]"
dimasroque,"[(233, 1)]"
fejal,"[(179, 1)]"
desencadeada,"[(525, 1)]"
utilizam,"[(289, 1)]"
dispersar,"[(179, 1), (477, 1)]"
dispersas,"[(138, 1)]"
chamados,"[(34, 1), (55, 1), (127, 2), (153, 1), (309, 1), (465, 1), (470, 1), (477, 1), (566, 1)]"
alienada,"[(251, 1)]"
condena,"[(514, 1), (534, 1)]"
compartilhamentos,"[(59, 1), (172, 1), (577, 4)]"
podemos,"[(27, 4), (102, 1), (166, 1), (179, 1), (194, 1), (250, 1), (289, 1), (407, 2), (480, 1), (525, 1), (584, 1), (590, 1), (597, 2)]"
explorada,"[(592, 1)]"
guiana,"[(585, 3)]"
ribeirinhos,"[(179, 1), (582, 2)]"
isola,"[(297, 1)]"
mentiras,"[(138, 1), (171, 1), (289, 1), (397, 1), (548, 1), (551, 1), (566, 1), (577, 1), (622, 1), (627, 3)]"
aguentem,"[(135, 1)]"
organize,"[(145, 1)]"
malta,"[(198, 1), (240, 1)]"
desvios,"[(17, 1), (179, 1)]"
organiza,"[(113, 1)]"
transitada,"[(62, 3), (285, 1), (454, 1)]"
remessas,"[(418, 1)]"
bolonha,"[(37, 1), (146, 1), (276, 1)]"
pratica,"[(17, 2), (465, 1)]"
batalhas,"[(30, 1)]"
acabando,"[(55, 3), (174, 1)]"
hipotecárias,"[(304, 1)]"
esquecendo,"[(27, 1)]"
tel,"[(193, 1), (194, 2)]"
palmirinha,"[(252, 1)]"
grifo,"[(525, 1)]"
específicas,"[(568, 1), (572, 1)]"
instagram,"[(200, 1), (238, 1), (252, 1), (289, 1), (390, 1), (399, 1), (400, 1), (460, 2), (462, 2), (532, 1), (561, 2), (569, 1), (586, 2), (592, 1), (599, 1)]"
sonhamos,"[(61, 5)]"
couve-flor,"[(252, 1)]"
gnt,"[(252, 1), (630, 1)]"
farão,"[(404, 1), (583, 1)]"
controversos,"[(210, 1), (568, 1)]"
deturpar,"[(10, 1)]"
paraguaia,"[(635, 1)]"
greves,"[(133, 1), (260, 1)]"
freyre,"[(132, 2)]"
gostou,"[(132, 1), (306, 1), (365, 1), (550, 1), (552, 1)]"
desconheçam,"[(118, 1)]"
putrefação,"[(97, 1)]"
fopir,"[(448, 1)]"
escalão,"[(17, 1), (239, 1), (283, 1), (418, 1), (535, 1)]"
evidentemente,"[(33, 1), (37, 1), (62, 1), (121, 1), (158, 1), (465, 1), (470, 1), (573, 1)]"
john,"[(34, 1), (573, 3)]"
popularmente,"[(545, 1), (627, 1)]"
enfrenta,"[(108, 1), (297, 1), (361, 1), (421, 1)]"
denúncias,"[(10, 1), (17, 2), (30, 2), (57, 1), (103, 1), (138, 1), (212, 1), (224, 1), (243, 1), (282, 1), (289, 2), (358, 1), (368, 1), (477, 1), (545, 1), (613, 1), (635, 1)]"
acostumado,"[(488, 1), (534, 1)]"
comentamos,"[(345, 1)]"
praticá-lo,"[(207, 1)]"
queria,"[(28, 1), (46, 1), (51, 1), (55, 1), (96, 1), (103, 1), (112, 1), (114, 1), (167, 4), (174, 1), (193, 2), (208, 1), (248, 2), (252, 2), (309, 1), (403, 1), (412, 1), (480, 1), (525, 1), (534, 1), (542, 1), (573, 1), (591, 1), (633, 1)]"
antipetista,"[(593, 1)]"
algue,"[(27, 4)]"
neues,"[(627, 1)]"
gerando,"[(294, 1)]"
albert,"[(67, 1), (492, 1), (590, 1)]"
coordenar,"[(91, 1), (138, 1), (248, 1), (545, 1)]"
propagação,"[(289, 1)]"
correspondem,"[(147, 1)]"
duvido,"[(316, 1), (579, 1)]"
gestada,"[(545, 1)]"
cerebrais,"[(297, 1)]"
dimensão,"[(40, 1), (160, 1), (301, 1)]"
duvide,"[(98, 1), (502, 1)]"
descumprir,"[(451, 1)]"
pato,"[(611, 1)]"
primavera,"[(51, 1)]"
duvida,"[(480, 1)]"
sétima,"[(122, 1), (430, 1)]"
civilizado,"[(51, 1), (214, 1), (526, 1), (632, 1)]"
capangas,"[(573, 1)]"
incomodo,"[(252, 1)]"
denunciava,"[(10, 1)]"
sensualizar,"[(554, 1)]"
intelectualmente,"[(404, 1)]"
vão,"[(3, 1), (17, 1), (26, 2), (36, 1), (57, 2), (98, 1), (102, 1), (112, 1), (113, 1), (114, 1), (123, 1), (127, 1), (135, 1), (146, 3), (147, 1), (192, 1), (193, 1), (207, 1), (208, 1), (223, 1), (252, 1), (273, 2), (282, 2), (288, 1), (339, 1), (359, 1), (372, 1), (376, 1), (432, 1), (448, 1), (477, 2), (488, 3), (496, 1), (545, 2), (559, 1), (568, 3), (603, 1), (627, 3)]"
bebi,"[(327, 1)]"
parreiras,"[(237, 2)]"
uol,"[(179, 2), (403, 1), (412, 1), (421, 1), (462, 1), (516, 1), (623, 1)]"
reduzida,"[(214, 1)]"
incompleta,"[(283, 1)]"
reclamada,"[(572, 1)]"
dyogo,"[(338, 1)]"
protegê-lo,"[(534, 1)]"
discussão,"[(37, 1), (57, 1), (80, 1), (167, 1), (210, 1), (237, 1), (266, 1), (283, 1), (294, 1), (355, 1), (376, 1), (378, 1), (433, 1), (443, 1), (462, 1), (525, 1), (549, 1)]"
invocando,"[(138, 1), (217, 1)]"
decisões,"[(17, 2), (30, 1), (34, 1), (62, 1), (71, 1), (103, 2), (123, 1), (137, 1), (162, 1), (166, 1), (223, 1), (236, 1), (367, 1), (398, 1), (514, 1), (560, 1), (568, 2), (579, 1), (585, 1)]"
destilar,"[(255, 1)]"
multidão,"[(108, 1), (167, 1), (291, 1), (294, 1), (318, 1), (583, 1)]"
reduzido,"[(17, 2), (583, 1)]"
apodreceu,"[(219, 1)]"
específica,"[(118, 1), (119, 1), (121, 1), (289, 1)]"
udr,"[(229, 17)]"
gravado,"[(33, 1), (102, 1), (525, 1)]"
epistêmico,"[(102, 1)]"
emdefesadostfpor,"[(223, 1)]"
madrid,"[(160, 1)]"
jogou,"[(138, 1), (239, 1), (379, 1), (555, 1), (627, 1)]"
assange,"[(16, 1)]"
específico,"[(104, 1), (162, 1), (166, 1), (525, 1)]"
ohtake,"[(433, 1)]"
apuração,"[(56, 1), (367, 1), (368, 1), (407, 1), (566, 2)]"
monazíticas,"[(572, 1)]"
fundamentais,"[(27, 1), (62, 4), (122, 2), (134, 1), (166, 1), (223, 1), (285, 1), (380, 1), (477, 1), (531, 1), (566, 3), (577, 1)]"
lula,"[(1, 1), (5, 1), (27, 9), (30, 1), (37, 16), (52, 8), (57, 2), (62, 22), (68, 1), (102, 1), (108, 19), (130, 1), (133, 5), (137, 1), (138, 4), (146, 78), (174, 8), (182, 5), (185, 17), (198, 5), (212, 1), (224, 8), (229, 1), (233, 1), (236, 3), (248, 1), (252, 2), (254, 1), (268, 1), (276, 15), (283, 1), (285, 1), (300, 1), (304, 1), (305, 1), (308, 1), (357, 4), (361, 1), (367, 3), (374, 1), (379, 1), (406, 1), (445, 1), (457, 14), (463, 2), (480, 4), (484, 5), (513, 3), (519, 4), (523, 3), (525, 2), (552, 1), (579, 1), (586, 1), (591, 1), (593, 1), (603, 1), (627, 1), (632, 2), (635, 1)]"
narcotraficante,"[(55, 1), (59, 1)]"
tributárias,"[(525, 2)]"
direi,"[(133, 1)]"
família,"[(3, 2), (13, 2), (17, 1), (57, 3), (92, 1), (119, 1), (157, 1), (160, 1), (174, 6), (177, 1), (182, 4), (185, 1), (212, 1), (219, 2), (229, 1), (241, 1), (252, 3), (255, 1), (256, 2), (264, 1), (302, 1), (306, 1), (352, 8), (354, 1), (360, 5), (393, 1), (406, 1), (407, 4), (459, 1), (492, 1), (507, 1), (518, 1), (543, 1), (544, 1), (555, 1), (560, 1), (566, 2), (568, 1), (575, 1), (579, 1), (590, 1), (593, 10), (603, 3), (613, 1), (627, 7)]"
ironicamente,"[(167, 1), (289, 1), (291, 2), (560, 1)]"
filiadas,"[(289, 2)]"
abrão,"[(448, 1)]"
baixezas,"[(27, 1)]"
estapafúrdia,"[(319, 1), (486, 1)]"
boghossian,"[(223, 1)]"
destituída,"[(354, 1)]"
goleada,"[(535, 1)]"
academia,"[(51, 1), (127, 1)]"
frustrado,"[(46, 1), (86, 1)]"
licenciado,"[(127, 1)]"
educacionais,"[(166, 1), (179, 1), (237, 1), (249, 1)]"
quadril,"[(478, 1)]"
afasta,"[(80, 1)]"
frustrada,"[(268, 1), (486, 1)]"
honra,"[(27, 1), (207, 1), (216, 1), (256, 1), (289, 1), (393, 1), (457, 1), (543, 1), (545, 1)]"
afaste,"[(102, 1)]"
atribuições,"[(61, 2), (424, 2), (590, 1)]"
imobilização,"[(145, 1)]"
negado,"[(55, 1), (354, 1)]"
acusam,"[(210, 1)]"
julho,"[(10, 1), (27, 2), (62, 2), (76, 2), (99, 1), (108, 1), (243, 1), (525, 1), (566, 1), (572, 1)]"
bruce,"[(158, 1)]"
prends,"[(360, 1)]"
erguido,"[(316, 1)]"
besteira,"[(149, 1), (241, 1)]"
lucro,"[(51, 1), (158, 1), (162, 1), (167, 1), (294, 1), (568, 2)]"
maycon,"[(417, 1), (467, 1), (559, 2), (581, 3), (628, 3)]"
páginas,"[(3, 1), (57, 1), (59, 1), (82, 1), (161, 1), (289, 2), (306, 1), (442, 1), (577, 6)]"
taxativo,"[(294, 1)]"
alça,"[(223, 1)]"
recessão,"[(138, 1), (525, 1)]"
comissariado,"[(192, 1)]"
excludente,"[(174, 1), (409, 1), (448, 1), (585, 1)]"
vislumbra,"[(17, 1), (519, 1)]"
guaraldo,"[(403, 1)]"
grava,"[(477, 1)]"
acusar,"[(223, 1), (534, 1)]"
-se,"[(480, 1)]"
