Word,Documents (With Count)
china,"[(98, 2), (201, 1), (277, 1), (429, 2)]"
judeu,"[(12, 1), (13, 1), (34, 1), (121, 1)]"
ater,"[(294, 1)]"
separarei,"[(397, 1)]"
cartórios,"[(82, 1)]"
linha,"[(17, 1), (57, 1), (62, 1), (82, 1), (96, 1), (99, 1), (102, 1), (119, 1), (160, 1), (174, 1), (223, 1), (282, 1), (283, 1), (288, 1), (294, 3), (297, 1), (355, 1), (407, 2), (432, 1), (526, 1), (583, 2), (585, 1), (597, 1)]"
invade,"[(229, 2)]"
civismo,"[(179, 1)]"
ocuparam,"[(25, 1), (96, 1), (248, 1)]"
edição,"[(13, 1), (137, 1), (219, 1), (278, 1), (345, 2), (403, 1), (443, 1), (457, 1), (458, 1), (559, 2), (581, 1), (586, 1), (590, 1)]"
putíssimo,"[(238, 1)]"
postos,"[(17, 1), (80, 1), (185, 1), (283, 1), (590, 1), (602, 1)]"
prazo,"[(40, 1), (61, 3), (98, 1), (123, 1), (130, 1), (138, 1), (145, 1), (147, 1), (158, 1), (167, 1), (217, 1), (273, 2), (523, 1), (577, 1), (583, 2)]"
críticas,"[(11, 1), (17, 1), (56, 1), (86, 1), (99, 1), (134, 3), (137, 1), (158, 1), (174, 1), (179, 1), (210, 1), (223, 3), (252, 1), (282, 2), (289, 2), (306, 2), (367, 3), (448, 1), (459, 1), (526, 1), (577, 2), (582, 1)]"
acertar,"[(452, 1)]"
reports,"[(16, 1)]"
robin,"[(488, 1)]"
sábio,"[(162, 1), (573, 2)]"
controversa,"[(212, 3)]"
localidade,"[(457, 1)]"
juras,"[(219, 1)]"
jurar,"[(551, 1)]"
comemoram,"[(277, 1)]"
fragmentação,"[(138, 1)]"
drfernandoortiz,"[(533, 1)]"
divide,"[(30, 1), (138, 1)]"
implícita,"[(486, 1)]"
obrigatórios,"[(149, 1), (232, 1)]"
explained,"[(12, 1)]"
têm,"[(13, 1), (30, 1), (57, 2), (62, 2), (63, 2), (76, 2), (104, 2), (118, 2), (121, 1), (122, 2), (126, 1), (127, 2), (137, 1), (153, 1), (162, 1), (174, 1), (192, 1), (195, 1), (208, 1), (229, 1), (239, 1), (243, 3), (249, 1), (256, 1), (273, 3), (276, 1), (288, 1), (289, 5), (297, 1), (306, 3), (324, 1), (358, 1), (365, 1), (367, 1), (376, 1), (397, 1), (407, 1), (418, 2), (429, 1), (430, 1), (457, 1), (465, 1), (470, 1), (486, 1), (488, 1), (496, 1), (517, 1), (519, 2), (525, 2), (545, 2), (562, 1), (566, 1), (568, 5), (577, 3), (582, 1), (603, 2), (627, 3), (635, 1)]"
instantâneo,"[(282, 1)]"
revogando,"[(214, 1)]"
hamas,"[(15, 2), (236, 1)]"
conscientizem,"[(171, 1)]"
enfeite,"[(433, 1)]"
recontar,"[(236, 1), (309, 1)]"
coquetel,"[(483, 1), (623, 1)]"
limão,"[(443, 2)]"
doença,"[(57, 1), (162, 1), (177, 1)]"
caído,"[(264, 1), (488, 1)]"
unir,"[(138, 1), (194, 1), (276, 1), (289, 1)]"
adversário,"[(552, 1)]"
witzel,"[(55, 1), (235, 1), (603, 1)]"
compareceu,"[(270, 1), (551, 1)]"
olimpíadas,"[(249, 1)]"
questionando,"[(10, 1)]"
bandeirantes,"[(40, 2), (419, 1)]"
memórias,"[(132, 1), (236, 1)]"
aprendia,"[(229, 1)]"
comitiva,"[(457, 3)]"
sigilo,"[(126, 1), (166, 1), (179, 1), (304, 1), (368, 1), (492, 1), (560, 1), (581, 1), (628, 1)]"
sucessores,"[(525, 1)]"
